nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 10:30,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 10:30,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 10:30,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 10:30,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 10:30,110,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 10:30,2070,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 10:30,2730,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 10:30,1880,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 10:30,1940,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 10:30,1710,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 10:50,290,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 10:40,400,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 10:40,1280,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 10:40,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 10:40,6610,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 10:40,680,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 10:40,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 10:40,3880,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 10:40,1460,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 10:40,1990,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 10:40,-1800,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 10:40,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 10:40,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 10:40,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 10:50,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 10:40,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 10:40,110,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 10:40,2070,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 10:40,2720,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 10:40,1880,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 10:40,1910,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 10:40,1720,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:00,290,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 10:50,400,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 10:50,1310,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 10:50,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 10:50,6610,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 10:50,670,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 10:50,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 10:50,3880,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 10:50,1430,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 10:50,1910,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 10:40,-1800,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 10:50,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 10:50,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 10:50,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:00,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 10:50,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 10:50,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 10:50,2070,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 10:50,2710,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 10:50,1870,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 10:50,1850,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 10:50,1730,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:10,290,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:00,410,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:00,1310,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:00,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:00,6610,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:00,670,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:00,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:00,3870,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:00,1400,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:00,1920,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:00,-1810,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:00,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:00,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:00,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:10,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:00,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:00,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:00,2070,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:00,2690,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:00,1840,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:00,1840,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 10:50,1730,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:20,300,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:10,410,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:10,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:10,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:10,6600,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:10,670,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:10,-390,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:10,3860,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:10,1390,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:10,1890,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:10,-1810,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:10,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:10,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:10,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:20,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:10,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:10,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:10,2060,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:10,2590,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:10,1820,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:10,1820,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 11:10,1690,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:20,300,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:20,410,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:20,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:20,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:20,6600,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:20,660,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:20,-380,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:20,3860,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:20,1360,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:20,1890,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:20,-1810,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:20,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:20,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:20,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:30,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:20,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:20,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:20,2060,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:10,2590,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:20,1820,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:20,1810,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 11:20,1690,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:40,300,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:30,410,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:30,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:30,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:30,6570,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:30,660,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:30,-380,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:30,3870,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:30,1330,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:30,1850,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:30,-1820,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:30,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:30,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:30,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:40,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:30,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:30,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:30,2060,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:30,2490,Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:30,1810,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:30,1780,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 11:30,1690,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:40,300,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:40,410,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:40,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:40,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:40,6560,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:40,660,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:40,-380,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:40,3870,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:40,1330,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:40,1850,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:40,-1820,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:40,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:40,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:40,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 11:50,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:40,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:40,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:40,2050,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:40,2450,Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:40,1810,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:40,1770,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 11:40,1680,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 11:40,300,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 11:50,430,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 11:50,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 11:50,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 11:50,6560,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 11:50,650,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 11:50,-380,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 11:50,3870,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 11:50,1300,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 11:50,1830,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 11:50,-1830,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 11:50,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 11:50,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 11:50,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 12:00,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 11:50,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 11:50,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 11:50,2050,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 11:50,2430,Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,11/02/2018 11:50,1800,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,11/02/2018 11:50,1760,Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,11/02/2018 11:50,1680,Siaga 3
PS. Cibogo,Ciliwung,-6.657083,106.878083,11/02/2018 12:10,310,Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,11/02/2018 12:00,430,Normal
PS. Depok,Ciliwung,-6.40042,106.831524,11/02/2018 12:00,1300,Normal
PS. Kp. Melayu,Ciliwung,-6.225753,106.864228,11/02/2018 12:00,5190,Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,11/02/2018 12:00,6560,Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,11/02/2018 12:00,650,Normal
Pompa Cideng,Krukut,-6.173271,106.806351,11/02/2018 12:00,-380,Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,11/02/2018 12:00,3870,Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,11/02/2018 12:00,1290,Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,11/02/2018 12:00,1810,Siaga 3
P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,11/02/2018 12:00,-1830,Normal
PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,11/02/2018 12:00,510,Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,11/02/2018 12:00,250,Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,11/02/2018 12:00,-100,Normal
PS. Sunter Hulu,Sunter,,,11/02/2018 12:10,450,Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,11/02/2018 12:00,3290,Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,11/02/2018 12:00,100,Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,0000-00-00 00:00:00,0,Normal
PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,0000-00-00 00:00:00,0,Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,11/02/2018 12:00,2050,Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,11/02/2018 12:00,2400,Normal
